"DATE_NAME","DATE_CODE","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","AGE_NAME","OBS_VALUE","OBS_STATUS"
"2024","2024","Na h-Eileanan Siar","S12000013","Total","All ages",26020,"A"
"2024","2024","Falkirk","S12000014","Total","All ages",160020,"A"
"2024","2024","Fife","S12000047","Total","All ages",374760,"A"
"2024","2024","Glasgow City","S12000049","Total","All ages",650300,"A"
"2024","2024","Highland","S12000017","Total","All ages",237290,"A"
"2024","2024","Inverclyde","S12000018","Total","All ages",78880,"A"
"2024","2024","Midlothian","S12000019","Total","All ages",99880,"A"
"2024","2024","Moray","S12000020","Total","All ages",95010,"A"
"2024","2024","North Ayrshire","S12000021","Total","All ages",134010,"A"
"2024","2024","North Lanarkshire","S12000050","Total","All ages",344540,"A"
"2024","2024","Orkney Islands","S12000023","Total","All ages",22020,"A"
"2024","2024","Perth and Kinross","S12000048","Total","All ages",154420,"A"
"2024","2024","Renfrewshire","S12000038","Total","All ages",189170,"A"
"2024","2024","Scottish Borders","S12000026","Total","All ages",116980,"A"
"2024","2024","Shetland Islands","S12000027","Total","All ages",23190,"A"
"2024","2024","South Ayrshire","S12000028","Total","All ages",112260,"A"
"2024","2024","South Lanarkshire","S12000029","Total","All ages",334030,"A"
"2024","2024","Stirling","S12000030","Total","All ages",94210,"A"
"2024","2024","West Dunbartonshire","S12000039","Total","All ages",89120,"A"
"2024","2024","West Lothian","S12000040","Total","All ages",186440,"A"
"2024","2024","Antrim and Newtownabbey","N09000001","Total","All ages",148100,"A"
"2024","2024","Armagh City, Banbridge and Craigavon","N09000002","Total","All ages",222511,"A"
"2024","2024","Belfast","N09000003","Total","All ages",352390,"A"
"2024","2024","Causeway Coast and Glens","N09000004","Total","All ages",141954,"A"
"2024","2024","Derry City and Strabane","N09000005","Total","All ages",152383,"A"
"2024","2024","Fermanagh and Omagh","N09000006","Total","All ages",117687,"A"
"2024","2024","Lisburn and Castlereagh","N09000007","Total","All ages",151669,"A"
"2024","2024","Mid and East Antrim","N09000008","Total","All ages",139913,"A"
"2024","2024","Mid Ulster","N09000009","Total","All ages",152718,"A"
"2024","2024","Newry, Mourne and Down","N09000010","Total","All ages",183115,"A"
"2024","2024","Ards and North Down","N09000011","Total","All ages",165415,"A"
